,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
59,Guilford Ave and E Lexington St,60,Downtown,"(39.291245000000004, -76.611114000000001)",39.291245,-76.611114,InnerHarbor
60,South St and E Baltimore St,61,Downtown,"(39.289701000000001, -76.611047999999997)",39.289701,-76.611048,InnerHarbor
61,South St and Water St,62,Downtown,"(39.288566000000003, -76.610961000000003)",39.288566,-76.610961,InnerHarbor
62,N Holiday St and E Saratoga St,63,Downtown,"(39.292495000000002, -76.610354999999998)",39.292495,-76.610355,EastSaratogaStreet
63,N Holiday St and E Fayette St,64,Downtown,"(39.290497999999999, -76.610275999999999)",39.290498,-76.610276,InnerHarbor
64,CommerceSt and E Lombard St,65,Downtown,"(39.287849000000001, -76.610116000000005)",39.287849,-76.610116,EastLombardStreet
65,CommerceSt and E Pratt St,66,Downtown,"(39.286662, -76.610022000000001)",39.286662,-76.610022,InnerHarbor
66,Custom House Ave and ,67,Downtown,"(39.289210493896313, -76.609755456447601)",39.28921049389631,-76.6097554564476,InnerHarbor
67,S Gay St and E Baltimore St,68,Downtown,"(39.289771999999999, -76.608945000000006)",39.289772,-76.608945,InnerHarbor
68,S Gay St and Water St,69,Downtown,"(39.288623999999999, -76.608832000000007)",39.288624,-76.608832,InnerHarbor
69,E Saratoga St and E Lexington St,70,Downtown,"(39.291377722, -76.607829630400005)",39.291377722,-76.6078296304,Jonestown
70,Market Pl and E Lombard St,71,Downtown,"(39.287903999999997, -76.606943999999999)",39.287904,-76.606944,Baltimore
71,Pearl St and W Lexington St,72,Downtown,"(39.291325000000001, -76.624647999999993)",39.291325,-76.624648,RidgleysDelight
72,N Greene St and W Mulberry St,73,Downtown,"(39.293779000000001, -76.623930000000001)",39.293779,-76.62393,NorthGreeneStreet
73,Druid Hill Ave and Saint Mary St,74,Downtown,"(39.297505383100003, -76.622871458500001)",39.2975053831,-76.6228714585,SetonHill
74,Pennsylvania Ave and Saint Mary St,75,Downtown,"(39.295821990357901, -76.625062823295593)",39.2958219903579,-76.6250628232956,SetonHill
75,N Eutaw St and W Monument St,76,Downtown,"(39.297269, -76.621448000000001)",39.297269,-76.621448,SetonHill
76,Saratoga and Charles,77,Downtown,"(39.292327, -76.615414000000001)",39.292327,-76.615414,MountVernon
77,Saint Paul St and Franklin,78,Downtown,"(39.295109528266927, -76.613870884137015)",39.29510952826693,-76.61387088413701,MountVernon
78,Charles and Fayette,79,Downtown,"(39.290628181254959, -76.614485357323218)",39.29062818125496,-76.61448535732322,InnerHarbor
79,E Fayette St and N Broadway,201,Broadway,"(39.293968, -76.594116999999997)",39.293968,-76.594117,WashingtonHill
80,E Fairmount Ave and N Broadway,202,Broadway,"(39.292631999999998, -76.594029000000006)",39.292632,-76.594029,WashingtonHill
81,E Baltimore St and S Broadway,203,Broadway,"(39.291542, -76.593943999999993)",39.291542,-76.593944,WashingtonHill
82,E Baltimore St and S Ann St,204,Broadway,"(39.291615999999998, -76.591776999999993)",39.291616,-76.591777,ButchersHill
83,E Baltimore St and S Washington St,205,Broadway,"(39.291747000000001, -76.589201000000003)",39.291747,-76.589201,ButchersHill
84,E Lombard St and S Broadway,206,Broadway,"(39.290399000000001, -76.593868999999998)",39.290399,-76.593869,WashingtonHill
85,E Lombard St and S Ann St,207,Broadway,"(39.290498999999997, -76.591710000000006)",39.290499,-76.59171,WashingtonHill
86,E Lombard St and S Durham St,208,Broadway,"(39.290520000000001, -76.591047000000003)",39.29052,-76.591047,FellsProspect
87,E Lombard St and S Chapel St,209,Broadway,"(39.290554999999998, -76.589748999999998)",39.290555,-76.589749,FellsProspect
88,E Lombard St and S Washington St,210,Broadway,"(39.290573000000002, -76.589106000000001)",39.290573,-76.589106,FellsProspect
89,E Pratt St and S Broadway,211,Broadway,"(39.289256999999999, -76.593802999999994)",39.289257,-76.593803,WashingtonHill
90,E Pratt St and N Bond St,212,Broadway,"(39.289139912544471, -76.595711410045624)",39.28913991254447,-76.59571141004562,PerkinsHomes
91,Gough St and S Broadway,213,Broadway,"(39.287623000000004, -76.593704000000002)",39.287623,-76.593704,Baltimore
92,GoughSt and S Regester St,214,Broadway,"(39.287695999999997, -76.592432000000002)",39.287696,-76.592432,WashingtonHill
93,Bank St and S Broadway,215,Broadway,"(39.286608999999999, -76.593637999999999)",39.286609,-76.593638,PerkinsHomes
94,Bank St and S Bond St,216,Broadway,"(39.286512000000002, -76.595439999999996)",39.286512,-76.59544,PerkinsHomes
95,Bank St and Caroline St,217,Broadway,"(39.286467999999999, -76.596843000000007)",39.286468,-76.596843,PerkinsHomes
96,Eastern Ave and S Broadway,218,Broadway,"(39.285578000000001, -76.593557000000004)",39.285578,-76.593557,Baltimore
97,Eastern Ave and S Ann St,219,Broadway,"(39.285685999999998, -76.591406000000006)",39.285686,-76.591406,FellsProspect
98,Fleet St and S Broadway,220,Broadway,"(39.284603873545841, -76.59356564283371)",39.28460387354584,-76.59356564283371,FellsPoint
